trialname,1st_attempt_accuracy
01.json,83.5978835978836
02.json,83.88888888888889
03.json,95.16129032258064
04.json,73.86363636363636
05.json,92.78350515463916
06.json,38.547486033519554
07.json,66.30434782608695
08.json,53.17919075144509
09.json,76.04790419161677
10.json,89.0625
11.json,91.7948717948718
12.json,69.02173913043478
13.json,71.57894736842105
14.json,89.01098901098901
15.json,84.35754189944134
16.json,38.82978723404255
17.json,12.5
18.json,43.40659340659341
19.json,42.94478527607362
20.json,36.0
21.json,86.95652173913044
22.json,70.74468085106383
23.json,87.07865168539325
24.json,90.7514450867052
25.json,83.60655737704919
26.json,29.347826086956523
27.json,30.76923076923077
28.json,36.51685393258427
29.json,19.318181818181817
30.json,21.965317919075144
31.json,87.36842105263159
32.json,93.01075268817203
33.json,87.56756756756758
34.json,66.85393258426966
35.json,91.52542372881356
36.json,72.72727272727273
37.json,54.25531914893617
38.json,45.73170731707317
39.json,25.32467532467532
40.json,66.45569620253164
